DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200408949,5/18/2020 0:00,5/17/2020 0:00,1800,4,Hollenbeck,409,2,354,THEFT OF IDENTITY,,66,M,C,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,4300    LOWELL                       AV,,34.0938,-118.1624
200814504,9/24/2020 0:00,6/15/2020 0:00,5,8,West LA,824,2,354,THEFT OF IDENTITY,1822 0100 0930,57,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,600    SAN LORENZO                  ST,,34.0344,-118.5094
200708527,4/22/2020 0:00,4/22/2020 0:00,1939,7,Wilshire,715,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,19,M,O,102,SIDEWALK,,,IC,Invest Cont,740,,,,400 N  LA BREA                      AV,,34.0782,-118.3463
200306504,2/11/2020 0:00,2/11/2020 0:00,1225,3,Southwest,341,1,210,ROBBERY,0104 0325 0342 0444 0945 0346,19,X,X,409,BEAUTY SUPPLY STORE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,5700    OBAMA                        BL,,34.0151,-118.3657
200805392,1/31/2020 0:00,1/25/2020 0:00,1600,8,West LA,852,2,860,BATTERY WITH SEXUAL CONTACT,1822 0522 0551,26,F,A,404,DEPARTMENT STORE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,860,,,,11800    SANTA MONICA                 BL,,34.0427,-118.4585
200605883,2/7/2020 0:00,2/7/2020 0:00,2020,6,Hollywood,668,2,951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",1300 1310 0344 1231 1822 0104,58,M,O,114,TAXI,,,IC,Invest Cont,951,,,,FOUNTAIN,SAINT ANDREWS,34.0948,-118.3114
201306730,2/18/2020 0:00,2/18/2020 0:00,1750,13,Newton,1375,1,761,BRANDISH WEAPON,2000 1814 0444 0446 0408 0334 0913,24,F,H,501,SINGLE FAMILY DWELLING,200,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,626,761,,,1300 E  55TH                         ST,,33.993,-118.2521
200210574,5/24/2020 0:00,5/24/2020 0:00,830,2,Rampart,215,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2004 1218 0416 0305 0913 1817,41,M,H,158,TRANSIENT ENCAMPMENT,114,AIR PISTOL/REVOLVER/RIFLE/BB GUN,AO,Adult Other,230,,,,SILVER LAKE                  BL,HOLLYWOOD                    FY,34.0772,-118.2818
200810621,6/14/2020 0:00,6/14/2020 0:00,1855,8,West LA,857,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 2004 0325 0104 1822 2028,0,X,X,402,MARKET,,,IC,Invest Cont,442,,,,9600 W  PICO                         BL,,34.0552,-118.3979
201218536,8/14/2020 0:00,8/14/2020 0:00,1445,12,77th Street,1239,2,624,BATTERY - SIMPLE ASSAULT,1822 0416,44,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,SLAUSON                      AV,VERMONT                      AV,33.9891,-118.2915
200900955,12/25/2020 0:00,12/24/2020 0:00,2045,9,Van Nuys,904,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1402 0411 1218 0913 0360 0334 1401 1414,35,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",204,FOLDING KNIFE,AA,Adult Arrest,230,998,,,14500    SATICOY                      ST,,34.2084,-118.4599
201200563,3/4/2020 0:00,3/4/2020 0:00,2222,12,77th Street,1249,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1402 1224 1822 1309 0334 0445 0411 0416 0446 2021,37,M,H,142,DRIVE THRU*,204,FOLDING KNIFE,AA,Adult Arrest,230,,,,500 W  FLORENCE                     AV,,33.979,-118.2839
200105947,1/29/2020 0:00,1/28/2020 0:00,1730,1,Central,159,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1800    INDUSTRIAL                   ST,,34.0359,-118.2344
201209460,3/20/2020 0:00,3/20/2020 0:00,430,12,77th Street,1232,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 0447 0416 0400 1814,48,F,B,501,SINGLE FAMILY DWELLING,302,BLUNT INSTRUMENT,IC,Invest Cont,626,,,,5800    MADDEN                       AV,,33.9891,-118.3255
200315977,8/18/2020 0:00,8/18/2020 0:00,2300,3,Southwest,353,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1300 0329,19,X,X,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,3500    FARMDALE                     AV,,34.0237,-118.3461
200706332,2/19/2020 0:00,2/13/2020 0:00,2200,7,Wilshire,734,1,510,VEHICLE - STOLEN,,0,,,104,DRIVEWAY,,,IC,Invest Cont,510,,,,5700 W  6TH                          ST,,34.0677,-118.3548
200211811,6/26/2020 0:00,6/26/2020 0:00,430,2,Rampart,291,1,210,ROBBERY,0344 0325 0104 0444 0400 1822 0945,0,X,X,210,RESTAURANT/FAST FOOD,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,1600 S  HOOVER                       ST,,34.0433,-118.2841
200411380,8/1/2020 0:00,8/1/2020 0:00,545,4,Hollenbeck,415,2,900,VIOLATION OF COURT ORDER,2038 0913 1814 0329,34,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,900,,,,2500    HANCOCK                      ST,,34.0755,-118.2092
200609268,4/20/2020 0:00,4/6/2020 0:00,1900,6,Hollywood,643,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1822 1912,24,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956,,,,1500 N  FORMOSA                      AV,,34.098,-118.3468
200900691,4/21/2020 0:00,4/21/2020 0:00,30,9,Van Nuys,901,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 1402,54,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,998,,,7500    ZOMBAR                       AV,,34.2066,-118.4673
201111576,7/18/2020 0:00,4/10/2020 0:00,1200,11,Northeast,1117,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,108,PARKING LOT,,,IC,Invest Cont,420,,,,4800    EAGLE ROCK                   BL,,34.1324,-118.216
201111997,7/30/2020 0:00,7/29/2020 0:00,2220,11,Northeast,1147,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1814,55,M,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,2900    DIVISION                     ST,,34.1027,-118.2363
201107215,3/12/2020 0:00,3/11/2020 0:00,1630,11,Northeast,1135,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,37,M,H,108,PARKING LOT,,,IC,Invest Cont,745,,,,3300    GASSEN                       PL,,34.1051,-118.2313
200612184,7/3/2020 0:00,7/3/2020 0:00,300,6,Hollywood,644,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1300 1601 1606 0344 1822,28,F,W,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,420,,,,1400 N  POINSETTIA                   PL,,34.0962,-118.3483
200705431,1/31/2020 0:00,1/30/2020 0:00,2340,7,Wilshire,782,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,444,16,M,W,406,OTHER STORE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,627,,,,1900 S  LA CIENEGA                   BL,,34.0426,-118.3764
200207335,2/15/2020 0:00,2/15/2020 0:00,1730,2,Rampart,246,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 2000 0910 0416 1206 2033 1814,18,M,H,904,MTA - RED LINE - WESTLAKE/MACARTHUR PARK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,600 S  ALVARADO                     ST,,34.0596,-118.2749
201212518,5/9/2020 0:00,5/8/2020 0:00,1900,12,77th Street,1233,1,330,BURGLARY FROM VEHICLE,1609 0344 1307,46,F,H,101,STREET,,,IC,Invest Cont,330,,,,1700 W  60TH                         ST,,33.9859,-118.3068
200413050,9/22/2020 0:00,9/22/2020 0:00,900,4,Hollenbeck,478,2,624,BATTERY - SIMPLE ASSAULT,0913 0416,45,F,W,504,OTHER RESIDENCE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,3400    PERCY                        ST,,34.0277,-118.1979
201219428,8/27/2020 0:00,8/27/2020 0:00,10,12,77th Street,1218,1,251,SHOTS FIRED AT INHABITED DWELLING,0450 1822 0906,64,M,H,401,MINI-MART,106,UNKNOWN FIREARM,IC,Invest Cont,251,,,,5400 S  FIGUEROA                     ST,,33.9923,-118.287
200206499,2/19/2020 0:00,2/19/2020 0:00,1200,2,Rampart,236,1,330,BURGLARY FROM VEHICLE,0329 0344 1607,25,M,H,101,STREET,,,IC,Invest Cont,330,,,,1700    MIRAMAR                      ST,,34.0616,-118.2675
200814006,9/12/2020 0:00,9/5/2020 0:00,2040,8,West LA,808,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1420 1822 1609 1202 0202 0209 0216,62,F,A,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,740,,,,3000    DEEP CANYON                  DR,,34.1287,-118.4302
200316143,8/22/2020 0:00,8/21/2020 0:00,2000,3,Southwest,395,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300 1822,52,F,B,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,1700 W  43RD                         ST,,34.0055,-118.3095
200204647,1/14/2020 0:00,1/13/2020 0:00,1155,2,Rampart,265,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0302 0312 1019 0449,53,M,H,102,SIDEWALK,102,HAND GUN,IC,Invest Cont,230,,,,8TH                          ST,ALVARADO                     ST,34.0549,-118.2778
200215459,9/25/2020 0:00,9/5/2020 0:00,1840,2,Rampart,236,1,310,BURGLARY,0344 1501,33,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,100 N  ALVARADO                     ST,,34.0667,-118.2703
200510842,6/21/2020 0:00,6/21/2020 0:00,640,5,Harbor,565,2,888,TRESPASSING,1501 2004,0,X,X,401,MINI-MART,,,AA,Adult Arrest,888,,,,800 S  GAFFEY                       ST,,33.7366,-118.2923
